epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.994,1.34558,4.58027,1.33694,0.00139,0.45455,0.00119,0.00083,0.89866,4.07107,0.9872,0,0,0
2,314.241,1.29324,5.14011,1.18693,0.00139,0.45455,0.00121,0.00085,0.82646,4.0596,0.95012,1.9604e-05,1.9604e-05,1.9604e-05
3,380.057,1.35441,4.48724,1.29767,0,0,0,0,0.75499,4.01701,0.92331,3.8416e-05,3.8416e-05,3.8416e-05
4,395.471,1.23002,4.61367,1.1359,0.00139,0.45455,0.00147,0.00125,0.74563,3.96841,0.91843,5.6436e-05,5.6436e-05,5.6436e-05
5,405.146,1.02544,4.4518,1.13637,0.00194,0.63636,0.00229,0.00194,0.70088,3.97128,0.8805,7.3664e-05,7.3664e-05,7.3664e-05
6,413.946,0.84825,4.46687,0.98316,0.00222,0.72727,0.00459,0.00332,0.7026,3.9516,0.87347,9.01e-05,9.01e-05,9.01e-05
7,422.861,0.97234,3.78673,1.04321,0.00278,0.90909,0.00655,0.00447,0.79554,3.8718,0.88522,0.000105744,0.000105744,0.000105744
8,431.611,0.86422,3.79576,0.92274,0.00306,1,0.00904,0.00638,0.83017,3.83017,0.87795,0.000120596,0.000120596,0.000120596
9,440.311,1.13329,3.80587,1.0824,0.00306,1,0.00922,0.007,0.72725,3.78855,0.84568,0.000134656,0.000134656,0.000134656
10,449.622,0.97297,3.20569,0.99074,0.00306,1,0.00922,0.00737,0.69503,3.7141,0.85116,0.000147924,0.000147924,0.000147924
11,458.549,1.13807,2.9187,1.06611,0.00306,1,0.00923,0.00666,0.71062,3.66921,0.85709,0.0001604,0.0001604,0.0001604
12,467.398,0.91325,2.44613,0.91116,0.00306,1,0.00923,0.00681,0.74973,3.64699,0.86538,0.000172084,0.000172084,0.000172084
13,475.889,1.0374,2.36531,0.9365,0.00306,1,0.00925,0.00676,0.72886,3.56603,0.86334,0.000182976,0.000182976,0.000182976
14,484.299,0.78946,1.92584,0.86879,0.00306,1,0.00933,0.00708,0.69608,3.53289,0.85648,0.000193076,0.000193076,0.000193076
15,493.056,0.9886,2.06048,1.00797,0.00306,1,0.00928,0.00728,0.68566,3.52413,0.8592,0.000202384,0.000202384,0.000202384
16,502.043,0.78408,1.76106,0.92671,0.00306,1,0.00925,0.00686,0.69834,3.51578,0.85277,0.0002109,0.0002109,0.0002109
17,510.562,1.05599,1.87553,1.05407,0.00306,1,0.00912,0.00626,0.72854,3.53391,0.86444,0.000218624,0.000218624,0.000218624
18,519.133,0.82623,1.45592,0.88215,0.00306,1,0.00912,0.00626,0.72854,3.53391,0.86444,0.000225556,0.000225556,0.000225556
19,527.805,0.89933,1.6744,0.92487,0.00306,1,0.00943,0.00604,0.7836,3.55678,0.86989,0.000231696,0.000231696,0.000231696
20,536.281,0.71677,1.95626,0.88139,0.00306,1,0.00943,0.00604,0.7836,3.55678,0.86989,0.000237044,0.000237044,0.000237044
21,545.096,0.83838,1.66266,0.88437,0.00306,1,0.00944,0.00578,0.80968,3.55976,0.86972,0.0002416,0.0002416,0.0002416
22,553.933,0.72592,1.45825,0.86689,0.00306,1,0.00944,0.00578,0.80968,3.55976,0.86972,0.000245364,0.000245364,0.000245364
23,562.703,0.87089,1.72534,0.94827,0.00306,1,0.00963,0.00606,0.80269,3.55003,0.85773,0.000248336,0.000248336,0.000248336
24,571.803,0.74129,1.65839,0.84529,0.00306,1,0.00963,0.00606,0.80269,3.55003,0.85773,0.000250516,0.000250516,0.000250516
25,580.322,0.80494,1.44251,0.88178,0.00306,1,0.00976,0.00614,0.76975,3.51729,0.84928,0.000251904,0.000251904,0.000251904
26,588.903,0.63775,1.23106,0.88879,0.00306,1,0.00976,0.00614,0.76975,3.51729,0.84928,0.0002525,0.0002525,0.0002525
27,597.784,0.85319,1.47118,0.87554,0.00306,1,0.01001,0.0065,0.77996,3.45982,0.84236,0.000252304,0.000252304,0.000252304
28,606.627,0.67915,1.35898,0.80983,0.00306,1,0.01001,0.0065,0.77996,3.45982,0.84236,0.000251316,0.000251316,0.000251316
29,615.473,0.62081,1.28438,0.79173,0.00306,1,0.01004,0.00728,0.70438,3.41296,0.83288,0.000249536,0.000249536,0.000249536
30,624.572,0.5339,1.68844,0.78215,0.00306,1,0.01004,0.00728,0.70438,3.41296,0.83288,0.000246964,0.000246964,0.000246964
31,634.723,0.70267,1.4584,0.88695,0.00306,1,0.01006,0.00772,0.67445,3.40164,0.82987,0.0002436,0.0002436,0.0002436
32,644.992,0.85412,1.23322,0.8943,0.00306,1,0.01006,0.00772,0.67445,3.40164,0.82987,0.000239444,0.000239444,0.000239444
33,653.897,0.66947,1.36403,0.83963,0.00306,1,0.01034,0.00804,0.64455,3.41255,0.83782,0.000234496,0.000234496,0.000234496
34,662.398,0.84762,1.33857,0.92384,0.00306,1,0.01034,0.00804,0.64455,3.41255,0.83782,0.000228756,0.000228756,0.000228756
35,671.151,0.82057,1.3941,0.9525,0.00306,1,0.01063,0.00808,0.637,3.40569,0.84169,0.000222224,0.000222224,0.000222224
36,679.937,0.53064,1.35745,0.83809,0.00306,1,0.01063,0.00808,0.637,3.40569,0.84169,0.0002149,0.0002149,0.0002149
37,688.593,0.84083,1.27674,0.86479,0.00306,1,0.01044,0.00817,0.64054,3.39524,0.83608,0.000206784,0.000206784,0.000206784
38,697.288,0.6296,1.37798,0.82989,0.00306,1,0.01044,0.00817,0.64054,3.39524,0.83608,0.000197876,0.000197876,0.000197876
39,705.865,0.7951,1.34272,0.87772,0.00306,1,0.01655,0.0141,0.61957,3.36224,0.82731,0.000188176,0.000188176,0.000188176
40,714.364,0.67572,1.31689,0.85018,0.00306,1,0.01655,0.0141,0.61957,3.36224,0.82731,0.000177684,0.000177684,0.000177684
41,742.599,0.71894,1.70445,0.89363,0.00306,1,0.04216,0.03759,0.58233,3.32317,0.81122,0.0001664,0.0001664,0.0001664
42,751.972,0.76375,1.74213,0.81939,0.00306,1,0.04216,0.03759,0.58233,3.32317,0.81122,0.000154324,0.000154324,0.000154324
43,763.107,0.75214,1.66054,0.84831,0.00306,1,0.0733,0.06651,0.55216,3.29059,0.79842,0.000141456,0.000141456,0.000141456
44,771.776,0.67931,1.5797,0.82684,0.00306,1,0.0733,0.06651,0.55216,3.29059,0.79842,0.000127796,0.000127796,0.000127796
45,781.282,0.5545,1.50717,0.78962,0.00306,1,0.09829,0.08943,0.53944,3.2597,0.7944,0.000113344,0.000113344,0.000113344
46,790.713,0.5402,1.3976,0.77755,0.00306,1,0.09829,0.08943,0.53944,3.2597,0.7944,9.81e-05,9.81e-05,9.81e-05
47,800.513,0.6528,1.71986,0.78561,0.00306,1,0.11903,0.10791,0.53673,3.23149,0.79531,8.2064e-05,8.2064e-05,8.2064e-05
48,809.549,0.66894,1.73057,0.82032,0.00306,1,0.11903,0.10791,0.53673,3.23149,0.79531,6.5236e-05,6.5236e-05,6.5236e-05
49,818.591,0.67226,1.66533,0.90667,0.00306,1,0.13942,0.1265,0.52954,3.20407,0.79473,4.7616e-05,4.7616e-05,4.7616e-05
50,827.943,0.5051,1.57553,0.79819,0.00306,1,0.13942,0.1265,0.52954,3.20407,0.79473,2.9204e-05,2.9204e-05,2.9204e-05
