epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.4263,1.20882,4.4155,1.21609,0.00156,0.5,0.00141,0.00101,0.7849,3.95846,0.99747,0,0,0
2,172.647,1.21919,4.32194,1.22857,0.00178,0.57143,0.00168,0.00116,0.72343,3.93511,0.96543,1.9604e-05,1.9604e-05,1.9604e-05
3,194.962,1.45113,4.26683,1.29842,0.00156,0.5,0.00176,0.00141,0.66346,3.90581,0.9431,3.8416e-05,3.8416e-05,3.8416e-05
4,207.208,0.95174,4.3298,1.1444,0.002,0.64286,0.00267,0.00217,0.62678,3.88971,0.92533,5.6436e-05,5.6436e-05,5.6436e-05
5,217.959,1.111,4.24417,1.09462,0.00222,0.71429,0.00419,0.00296,0.68638,3.87373,0.93092,7.3664e-05,7.3664e-05,7.3664e-05
6,228.903,1.07617,3.87534,1.1017,0.00244,0.78571,0.00574,0.00407,0.68993,3.88294,0.9152,9.01e-05,9.01e-05,9.01e-05
7,239.91,1.19295,3.86275,1.16753,0.00244,0.78571,0.00626,0.00455,0.71041,3.83258,0.90268,0.000105744,0.000105744,0.000105744
8,250.735,1.03956,3.66131,1.00805,0.00311,1,0.00875,0.00601,0.6966,3.76874,0.88612,0.000120596,0.000120596,0.000120596
9,261.327,0.89158,3.08249,0.92412,0.00311,1,0.01061,0.0073,0.65679,3.70945,0.86729,0.000134656,0.000134656,0.000134656
10,273.047,0.9872,2.83589,1.04086,0.00311,1,0.01079,0.00812,0.63893,3.65832,0.86442,0.000147924,0.000147924,0.000147924
11,283.626,0.75863,2.92588,0.8991,0.00311,1,0.01099,0.00854,0.63869,3.59642,0.86416,0.0001604,0.0001604,0.0001604
12,295.088,0.98792,2.25285,0.96591,0.00311,1,0.01081,0.0082,0.68009,3.53508,0.87019,0.000172084,0.000172084,0.000172084
13,306.032,0.95236,1.7878,0.90823,0.00311,1,0.01075,0.00806,0.68764,3.48204,0.86928,0.000182976,0.000182976,0.000182976
14,316.843,0.95221,1.99149,0.95299,0.00311,1,0.01075,0.00864,0.66495,3.45581,0.86278,0.000193076,0.000193076,0.000193076
15,328.245,0.81649,1.44403,0.88745,0.00311,1,0.01083,0.00892,0.63331,3.43669,0.86219,0.000202384,0.000202384,0.000202384
16,339.25,0.68006,1.50197,0.8276,0.00311,1,0.01105,0.0091,0.58075,3.43887,0.8581,0.0002109,0.0002109,0.0002109
17,349.893,0.83578,1.64521,1.02791,0.00311,1,0.01115,0.00915,0.56659,3.45034,0.85781,0.000218624,0.000218624,0.000218624
18,360.399,0.72934,1.44688,0.82245,0.00311,1,0.01115,0.00915,0.56659,3.45034,0.85781,0.000225556,0.000225556,0.000225556
19,371.169,0.82396,1.37276,0.87132,0.00311,1,0.01147,0.00967,0.55018,3.45375,0.85027,0.000231696,0.000231696,0.000231696
20,381.698,0.58554,1.4873,0.83344,0.00311,1,0.01147,0.00967,0.55018,3.45375,0.85027,0.000237044,0.000237044,0.000237044
21,392.595,0.83,1.63767,0.92129,0.00311,1,0.01135,0.00975,0.52891,3.46803,0.84189,0.0002416,0.0002416,0.0002416
22,403.38,0.70667,1.58178,0.91525,0.00311,1,0.01135,0.00975,0.52891,3.46803,0.84189,0.000245364,0.000245364,0.000245364
23,414.172,0.63089,1.73385,0.87958,0.00311,1,0.01159,0.00995,0.4941,3.48826,0.83271,0.000248336,0.000248336,0.000248336
24,424.806,0.67174,1.53225,0.8475,0.00311,1,0.01159,0.00995,0.4941,3.48826,0.83271,0.000250516,0.000250516,0.000250516
25,435.449,0.51729,1.56735,0.81193,0.00311,1,0.01147,0.00984,0.45612,3.46937,0.82811,0.000251904,0.000251904,0.000251904
26,467.826,0.75733,1.55418,0.90271,0.00311,1,0.01147,0.00984,0.45612,3.46937,0.82811,0.0002525,0.0002525,0.0002525
27,478.77,0.56833,1.50518,0.87322,0.00311,1,0.01168,0.01013,0.46204,3.42797,0.82511,0.000252304,0.000252304,0.000252304
28,489.359,0.78208,1.3908,0.88368,0.00311,1,0.01168,0.01013,0.46204,3.42797,0.82511,0.000251316,0.000251316,0.000251316
29,499.733,0.71042,1.3125,0.833,0.00311,1,0.01162,0.00956,0.53004,3.39824,0.83406,0.000249536,0.000249536,0.000249536
30,510.134,0.60523,1.25294,0.81402,0.00311,1,0.01162,0.00956,0.53004,3.39824,0.83406,0.000246964,0.000246964,0.000246964
31,520.534,0.68163,1.50251,0.88924,0.00311,1,0.01148,0.00896,0.59123,3.35503,0.83658,0.0002436,0.0002436,0.0002436
32,530.999,0.64708,1.24973,0.85233,0.00311,1,0.01148,0.00896,0.59123,3.35503,0.83658,0.000239444,0.000239444,0.000239444
33,541.459,0.71617,1.48629,0.85627,0.00311,1,0.01436,0.01157,0.61655,3.31725,0.83819,0.000234496,0.000234496,0.000234496
34,551.832,0.87025,1.52637,0.9425,0.00311,1,0.01436,0.01157,0.61655,3.31725,0.83819,0.000228756,0.000228756,0.000228756
35,562.397,0.62072,1.08982,0.81838,0.00311,1,0.0151,0.01296,0.57743,3.3089,0.83484,0.000222224,0.000222224,0.000222224
36,574.177,0.5452,1.29567,0.83475,0.00311,1,0.0151,0.01296,0.57743,3.3089,0.83484,0.0002149,0.0002149,0.0002149
37,586.077,0.59739,1.21389,0.87044,0.00311,1,0.02447,0.02269,0.50811,3.31019,0.83026,0.000206784,0.000206784,0.000206784
38,596.882,0.55418,1.21897,0.87957,0.00311,1,0.02447,0.02269,0.50811,3.31019,0.83026,0.000197876,0.000197876,0.000197876
39,608.447,0.47507,1.10587,0.82851,0.00311,1,0.02247,0.02092,0.46424,3.30975,0.82246,0.000188176,0.000188176,0.000188176
40,619.186,0.87136,1.35936,0.87695,0.00311,1,0.02247,0.02092,0.46424,3.30975,0.82246,0.000177684,0.000177684,0.000177684
41,635.702,0.5268,1.47663,0.80355,0.00311,1,0.01631,0.01497,0.44094,3.30235,0.82323,0.0001664,0.0001664,0.0001664
42,646.956,0.53453,1.65956,0.80394,0.00311,1,0.01631,0.01497,0.44094,3.30235,0.82323,0.000154324,0.000154324,0.000154324
43,658.244,0.56258,1.62456,0.8426,0.00311,1,0.01449,0.01323,0.431,3.30157,0.82576,0.000141456,0.000141456,0.000141456
44,669.163,0.55302,1.66324,0.81437,0.00311,1,0.01449,0.01323,0.431,3.30157,0.82576,0.000127796,0.000127796,0.000127796
45,679.683,0.59773,1.6114,0.80343,0.00311,1,0.01585,0.01466,0.43708,3.28883,0.82566,0.000113344,0.000113344,0.000113344
46,690.337,0.44752,1.45496,0.83826,0.00311,1,0.01585,0.01466,0.43708,3.28883,0.82566,9.81e-05,9.81e-05,9.81e-05
47,701.65,0.49343,1.53439,0.7816,0.00311,1,0.02375,0.02271,0.44332,3.26159,0.82135,8.2064e-05,8.2064e-05,8.2064e-05
48,713.215,0.4296,1.52201,0.78767,0.00311,1,0.02375,0.02271,0.44332,3.26159,0.82135,6.5236e-05,6.5236e-05,6.5236e-05
49,724.562,0.44918,1.62053,0.78258,0.00311,1,0.02869,0.02746,0.43793,3.22513,0.82033,4.7616e-05,4.7616e-05,4.7616e-05
50,737.15,0.48488,1.48305,0.798,0.00311,1,0.02869,0.02746,0.43793,3.22513,0.82033,2.9204e-05,2.9204e-05,2.9204e-05
